[iter=39980] rollout_mean_bb=22.4502 policy_loss=0.001722 value_loss=1.464369
[iter=39985] rollout_mean_bb=12.0254 policy_loss=0.056196 value_loss=1.955023
[iter=39990] rollout_mean_bb=7.8867 policy_loss=0.020893 value_loss=1.998446
[iter=39995] rollout_mean_bb=13.1475 policy_loss=0.007208 value_loss=1.968240
[iter=40000] rollout_mean_bb=2.7432 policy_loss=0.008980 value_loss=2.021156
[iter=40005] rollout_mean_bb=18.2637 policy_loss=-0.028775 value_loss=1.617209
[iter=40010] rollout_mean_bb=20.3262 policy_loss=0.055185 value_loss=1.812769
[iter=40015] rollout_mean_bb=6.0879 policy_loss=-0.054745 value_loss=1.711415
[iter=40020] rollout_mean_bb=17.5439 policy_loss=0.069860 value_loss=2.244430
[iter=40025] rollout_mean_bb=6.9414 policy_loss=-0.006405 value_loss=2.108563
[iter=40030] rollout_mean_bb=4.1182 policy_loss=0.051342 value_loss=1.863349
[iter=40035] rollout_mean_bb=14.0615 policy_loss=-0.015354 value_loss=1.792809
[iter=40040] rollout_mean_bb=10.0537 policy_loss=-0.046337 value_loss=1.760566
[iter=40045] rollout_mean_bb=19.1484 policy_loss=-0.008680 value_loss=1.446867
[iter=40050] rollout_mean_bb=10.3125 policy_loss=-0.017342 value_loss=1.992663
[iter=40055] rollout_mean_bb=13.8525 policy_loss=-0.059082 value_loss=1.293863
[iter=40060] rollout_mean_bb=13.4688 policy_loss=0.083495 value_loss=1.527761
[iter=40065] rollout_mean_bb=13.7227 policy_loss=0.025748 value_loss=1.843616
[iter=40070] rollout_mean_bb=22.9062 policy_loss=0.034702 value_loss=1.657329
[iter=40075] rollout_mean_bb=13.8086 policy_loss=0.017091 value_loss=1.956521
[iter=40080] rollout_mean_bb=11.1631 policy_loss=-0.005740 value_loss=1.943117
[iter=40085] rollout_mean_bb=8.6504 policy_loss=0.068162 value_loss=2.110211
[iter=40090] rollout_mean_bb=15.5596 policy_loss=-0.022038 value_loss=1.823261
[iter=40095] rollout_mean_bb=2.2969 policy_loss=-0.068371 value_loss=2.064716
[iter=40100] rollout_mean_bb=19.8184 policy_loss=0.009978 value_loss=1.646711
[iter=40105] rollout_mean_bb=15.4023 policy_loss=0.060085 value_loss=1.900823
[iter=40110] rollout_mean_bb=10.0186 policy_loss=-0.054089 value_loss=1.543794
[iter=40115] rollout_mean_bb=7.9258 policy_loss=0.007858 value_loss=1.661391
[iter=40120] rollout_mean_bb=14.2031 policy_loss=0.000397 value_loss=2.010558
[iter=40125] rollout_mean_bb=6.0664 policy_loss=-0.036988 value_loss=1.944768
[iter=40130] rollout_mean_bb=13.7461 policy_loss=0.013034 value_loss=1.857909
[iter=40135] rollout_mean_bb=15.1436 policy_loss=0.040055 value_loss=1.850683
[iter=40140] rollout_mean_bb=5.6885 policy_loss=-0.014727 value_loss=1.841200
[iter=40145] rollout_mean_bb=21.7637 policy_loss=0.063861 value_loss=1.646372
[iter=40150] rollout_mean_bb=10.6992 policy_loss=0.018219 value_loss=1.725350
[iter=40155] rollout_mean_bb=15.5586 policy_loss=-0.034963 value_loss=1.704397
[iter=40160] rollout_mean_bb=8.7910 policy_loss=0.001706 value_loss=1.642584
[iter=40165] rollout_mean_bb=8.7861 policy_loss=0.127418 value_loss=2.141912
[iter=40170] rollout_mean_bb=10.0869 policy_loss=0.024694 value_loss=1.968782
[iter=40175] rollout_mean_bb=9.4434 policy_loss=0.000301 value_loss=1.725783
[iter=40180] rollout_mean_bb=7.8379 policy_loss=-0.074094 value_loss=1.530092
[iter=40185] rollout_mean_bb=16.1533 policy_loss=0.047956 value_loss=1.746701
[iter=40190] rollout_mean_bb=11.3525 policy_loss=-0.023030 value_loss=1.865893
[iter=40195] rollout_mean_bb=10.5322 policy_loss=-0.044503 value_loss=1.809906
[iter=40200] rollout_mean_bb=14.8701 policy_loss=-0.009817 value_loss=1.695809
[iter=40205] rollout_mean_bb=13.8730 policy_loss=0.020454 value_loss=2.090590
[iter=40210] rollout_mean_bb=5.7490 policy_loss=-0.014513 value_loss=1.927532
[iter=40215] rollout_mean_bb=20.0332 policy_loss=-0.037985 value_loss=1.586389
[iter=40220] rollout_mean_bb=1.4932 policy_loss=0.038659 value_loss=2.117407
[iter=40225] rollout_mean_bb=24.1885 policy_loss=0.003745 value_loss=1.734636
[iter=40230] rollout_mean_bb=8.0391 policy_loss=-0.053471 value_loss=1.945807
[iter=40235] rollout_mean_bb=9.3799 policy_loss=-0.064459 value_loss=1.719195
